scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,193304.87,190380.84,196228.90,0.17,2,38427322,64976959,94934218,0.0,0.0,,
baseline,?,1P/64c,?,185655.90,146183.25,225128.56,2.37,2,77868390,129682688,235343048,0.0,0.0,,
baseline,?,4P/32c,?,698723.49,690517.52,706929.47,0.13,2,10360089,19504768,36999981,0.0,0.0,,
baseline,?,4P/64c,?,643390.04,556647.70,730132.38,1.50,2,21469421,42310381,74198243,0.0,0.0,,
baseline,?,8P/32c,?,1259155.75,1189354.70,1328956.80,0.62,2,5617659,10137041,22662003,0.0,0.0,,
baseline,?,8P/64c,?,1223738.48,1121167.90,1326309.06,0.93,2,12239067,20628979,48592824,0.0,0.0,,
hospital-1,?,1P/32c,?,149514.13,129380.58,169647.68,1.50,2,37848942,105198541,243838102,0.0,0.0,,
hospital-1,?,1P/64c,?,148044.83,115662.12,180427.53,2.43,2,79784233,217362880,409789695,0.0,0.0,,
hospital-1,?,4P/32c,?,541222.72,490770.69,591674.76,1.04,2,12980933,26119430,48166999,0.0,0.0,,
hospital-1,?,4P/64c,?,527617.56,324583.18,730651.94,4.28,2,25587533,51676571,88134864,0.0,0.0,,
hospital-1,?,8P/32c,?,980350.03,974541.99,986158.07,0.07,2,6965026,13300751,37160745,0.0,0.0,,
hospital-1,?,8P/64c,?,932006.59,730181.69,1133831.49,2.41,2,14059579,29795823,73866233,0.0,0.0,,
hospital-100,?,1P/32c,?,144334.08,130100.31,158567.85,1.10,2,39411100,113048820,267617386,0.0,0.0,,
hospital-100,?,1P/64c,?,140339.64,124956.67,155722.60,1.22,2,86691780,224380785,406416953,0.0,0.0,,
hospital-100,?,4P/32c,?,527916.60,375536.28,680296.93,3.21,2,12970471,24682482,55357584,0.0,0.0,,
hospital-100,?,4P/64c,?,514015.21,438149.97,589880.45,1.64,2,26236992,54436653,98257744,0.0,0.0,,
hospital-100,?,8P/32c,?,968859.18,527543.46,1410174.90,5.07,2,6882525,12479184,36684853,0.0,0.0,,
hospital-100,?,8P/64c,?,958854.23,421882.21,1495826.24,6.23,2,13999887,25972282,74083007,0.0,0.0,,
hospital-300,?,1P/32c,?,120973.64,-13651.07,255598.34,12.39,2,46100125,123374208,307197041,0.0,0.0,,
hospital-300,?,1P/64c,?,133797.55,121042.63,146552.47,1.06,2,84043799,248158170,554297501,0.0,0.0,,
hospital-300,?,4P/32c,?,509168.96,427633.73,590704.18,1.78,2,13185605,25789258,78067884,0.0,0.0,,
hospital-300,?,4P/64c,?,499591.39,477612.81,521569.97,0.49,2,26833832,56204276,121808089,0.0,0.0,,
hospital-300,?,8P/32c,?,952831.76,817811.89,1087851.62,1.58,2,6987680,12931895,37456502,0.0,0.0,,
hospital-300,?,8P/64c,?,897621.11,778916.19,1016326.03,1.47,2,14558335,32157031,97290203,0.0,0.0,,
rbac,?,1P/32c,?,157629.97,124491.83,190768.11,2.34,2,41424321,92635777,181443340,0.0,0.0,,
rbac,?,1P/64c,?,155582.83,134262.61,176903.06,1.53,2,81752467,193066424,393307203,0.0,0.0,,
rbac,?,4P/32c,?,589810.19,524743.78,654876.60,1.23,2,12472747,21967337,42424746,0.0,0.0,,
rbac,?,4P/64c,?,577759.41,516703.58,638815.23,1.18,2,24418197,46209063,89763197,0.0,0.0,,
rbac,?,8P/32c,?,1047234.01,981505.87,1112962.15,0.70,2,6638651,12588810,34578180,0.0,0.0,,
rbac,?,8P/64c,?,961155.72,751925.13,1170386.31,2.42,2,13792761,30689555,61610466,0.0,0.0,,
